feature,mean_train,std_train,mean_new,std_new,abs_mean_diff,z_like_std_units,drift_flag
pay_6,-0.2911,1.1499876256079027,-0.47,1.2233490567180179,0.17889999999999995,0.15556689120881934,False
pay_5,-0.2662,1.1331874060027483,-0.43,1.2009627628652542,0.1638,0.14454802355529772,False
bill_amt4,43262.94896666666,64332.85613391631,35283.31,53872.50796935708,7979.6389666666655,0.12403675891609718,False
pay_4,-0.22066666666666668,1.1691386224023375,-0.35,1.23902214645138,0.1293333333333333,0.1106227531487732,False
bill_amt5,40311.40096666667,60797.15577026487,34148.175,54234.506649474875,6163.225966666665,0.10137359040208457,False
bill_amt3,47013.1548,69349.38742703684,39988.42,58552.074781597184,7024.734799999998,0.10129483562332382,False
pay_0,-0.0167,1.1238015279973348,-0.13,1.1574968660756169,0.11330000000000001,0.10081851383587921,False
bill_amt6,38871.7604,59554.10753674573,33171.95,54743.97168416155,5699.810400000002,0.09570809866444632,False
pay_amt2,5921.1635,23040.870402057237,3856.9,5658.962961443993,2064.2634999999996,0.08959138539382606,False
pay_2,-0.13376666666666667,1.1971859730345533,-0.235,1.2236262936585922,0.10123333333333331,0.08455940474492353,False
bill_amt2,49179.07516666667,71173.76878252835,43298.155,67725.34681021422,5880.92016666667,0.08262763469271601,False
pay_3,-0.1662,1.1968675684465735,-0.26,1.2288001256281342,0.09380000000000002,0.0783712437319801,False
pay_amt3,5225.6815,17606.961469803104,3939.26,8771.671683494264,1286.4214999999995,0.07306323139323098,False
bill_amt1,51223.3309,73635.86057552956,46648.355,70051.47136205577,4574.975899999998,0.062129726796732475,False
pay_amt1,5663.5805,16563.280354025766,4746.47,8058.110361748004,917.1104999999998,0.055370100632091114,False
pay_amt5,4799.387633333334,15278.30567914479,4060.845,11208.370101519587,738.5426333333339,0.048339302069431156,False
pay_amt6,5215.502566666667,17777.4657754353,4561.015,11835.251288421186,654.4875666666667,0.036815571743133005,False
limit_bal,167484.32266666667,129747.66156720239,163250.0,120405.25164259065,4234.322666666674,0.0326350595881336,False
pay_amt4,4826.076866666666,15666.159744032007,5274.105,16511.47412263628,448.02813333333324,0.02859846577933562,False
age,35.4855,9.217904068090188,35.725,9.65897791028413,0.2394999999999996,0.025982045181300997,False
